Resource	Date	Description
AdminControllerTest.java	11 hours ago	Remove this 'public' modifier.
AdminDashboardServiceImpl.java	13 days ago	Define a constant instead of duplicating this literal "Product not found with id: " 3 times. [+3 locations]
AdminDashboardServiceImplTest.java	6 hours ago	Refactor the code of the lambda to have only one invocation possibly throwing a runtime exception. [+2 locations]
AdminDashboardServiceImplTest.java	6 hours ago	Refactor the code of the lambda to have only one invocation possibly throwing a runtime exception. [+2 locations]
AdminDashboardServiceImplTest.java	6 hours ago	Refactor the code of the lambda to have only one invocation possibly throwing a runtime exception. [+2 locations]
AdminDashboardServiceImplTest.java	6 hours ago	Refactor the code of the lambda to have only one invocation possibly throwing a runtime exception. [+2 locations]
AdminDashboardServiceImplTest.java	6 hours ago	Refactor the code of the lambda to have only one invocation possibly throwing a runtime exception. [+2 locations]
AdminDashboardServiceImplTest.java	6 hours ago	Refactor the code of the lambda to have only one invocation possibly throwing a runtime exception. [+2 locations]
AdminDashboardServiceImplTest.java	6 hours ago	Refactor the code of the lambda to have only one invocation possibly throwing a runtime exception. [+2 locations]
AdminDashboardServiceImplTest.java	6 hours ago	Remove this 'public' modifier.
AuthController.java	6 hours ago	Define a constant instead of duplicating this literal "DEBUG: /auth/me - Not authenticated, returning 401" 3 times. [+3 locations]
AuthController.java	6 hours ago	Define a constant instead of duplicating this literal "Not authenticated" 3 times. [+3 locations]
AuthController.java	20 days ago	Replace this use of System.out by a logger.
AuthController.java	20 days ago	Replace this use of System.out by a logger.
AuthController.java	23 days ago	Replace this use of System.out by a logger.
AuthController.java	23 days ago	Replace this use of System.out by a logger.
AuthController.java	23 days ago	Replace this use of System.out by a logger.
AuthController.java	23 days ago	Replace this use of System.out by a logger.
AuthController.java	23 days ago	Replace this use of System.out by a logger.
AuthController.java	23 days ago	Replace this use of System.out by a logger.
AuthController.java	23 days ago	Replace this use of System.out by a logger.
AuthController.java	27 days ago	Remove usage of generic wildcard type.
AuthControllerTest.java	6 hours ago	Remove this 'public' modifier.
AuthServiceImpl.java	21 days ago	Replace this use of System.out by a logger.
AuthServiceImpl.java	21 days ago	Replace this use of System.out by a logger.
AuthServiceImpl.java	21 days ago	Replace this use of System.out by a logger.
AuthServiceImpl.java	21 days ago	Replace this use of System.out by a logger.
AuthServiceImpl.java	21 days ago	Replace this use of System.out by a logger.
AuthServiceImplTest.java	6 hours ago	Remove this 'public' modifier.
BillingEngineServiceImpl.java	4 days ago	Merge the previous cases into this one using comma-separated label. [+3 locations]
BillingEngineServiceImpl.java	4 days ago	Reduce the total number of break and continue statements in this loop to use at most one. [+2 locations]
BillingEngineServiceImpl.java	4 days ago	Reduce the total number of break and continue statements in this loop to use at most one. [+2 locations]
BillingEngineServiceImpl.java	4 days ago	Replace generic exceptions with specific library exceptions or a custom exception.
BillingEngineServiceImpl.java	4 days ago	Replace generic exceptions with specific library exceptions or a custom exception.
BillingEngineServiceImpl.java	4 days ago	Replace generic exceptions with specific library exceptions or a custom exception.
BillingEngineServiceImpl.java	4 days ago	Replace generic exceptions with specific library exceptions or a custom exception.
